iso3	name	iso2	region	sub-region	intermediate-region	time	totalPopulation	fertilityRate	lifeExpectancy	childMortality	youthFemaleLiteracy	youthMaleLiteracy	adultLiteracy	GDP_PC	accessElectricity	agriculturalLand	agricultureTractors	cerealProduction	fertilizerHa	co2	greenhouseGases	co2_PC	pm2.5_35	battleDeaths
AFG	Afghanistan	AF	Asia	Southern Asia	""	1971	11475445	7.45	37.93	294.8						380360	600	3319000	2.59494	1895.839	14391.7782	0.16521		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1972	11791215	7.45	38.461	289.3						380460	600	3950000	3.68015	1532.806	13040.848	0.13		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1973	12108963	7.45	39.003	283.6						380480	585	4270000	3.10999	1639.149	13535.7541	0.13537		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1974	12412950	7.45	39.558	277.8						380480	570	4351000	4.28571	1917.841	14945.9682	0.1545		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1975	12689160	7.45	40.128	272						380480	550	4481000	4.59975	2126.86	14574.164	0.16761		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1976	12943093	7.45	40.715	266.2						380480	530	4624000	5.59241	1987.514	14746.851	0.15356		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1977	13171306	7.449	41.32	260.1						380500	515	4147000	6.85537	2390.884	15247.281	0.18152		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1978	13341198	7.449	41.944	254						380500	495	4382000	6.78496	2159.863	15112.318	0.16189		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1979	13411056	7.449	42.585	247.8	11.1428	45.79602	18.15768			380490	450	4214000	6.28812	2240.537	14923.075	0.16707		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1980	13356511	7.449	43.244	241.5						380490	400	4072000	6.46346	1760.16	15691.266	0.13178		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1981	13171673	7.449	43.923	235.1						380530	350	3893000	5.77889	1983.847	15810.335	0.15061		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1982	12882528	7.45	44.617	228.6						380540	300	3724000	6.67295	2101.191	15615.333	0.1631		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1983	12537730	7.452	45.324	222.2						380540	250	3591000	7.15297	2522.896	15322.53	0.20122		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1984	12204292	7.455	46.04	215.8						380540	200	3418000	9.17826	2830.924	14278.7921	0.23196		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1985	11938208	7.458	46.761	209.3						380540	150	3242000	9.22402	3509.319	13545.7369	0.29396		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1986	11736179	7.46	47.486	202.9						380540	150	3084000	8.50569	3142.619	12269.4624	0.26777		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1987	11604534	7.461	48.211	196.4						380450	120	3394000	9.98989	3124.284	12400.5073	0.26923		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1988	11618005	7.461	48.93	190.1						380400	120	2997000	7.04551	2867.594	12959.2948	0.24682		
AFG	Afghanistan	AF	Asia	Southern Asia	""	1989	11868877	7.461	49.64	183.8						380400	120	2834000	7.02908	2775.919	12348.957	0.23388		5174
AFG	Afghanistan	AF	Asia	Southern Asia	""	1990	12412308	7.466	50.331	177.7						380400	120	2705000	5.62579	2614.571	12528.0165	0.21064	99.95832	1478
AFG	Afghanistan	AF	Asia	Southern Asia	""	1991	13299017	7.479	50.999	171.7						380300	120	2721302	6.14412	2438.555	12307.0638	0.18336		3302
AFG	Afghanistan	AF	Asia	Southern Asia	""	1992	14485546	7.502	51.641	165.9						380300	110	2470000	5.79014	1393.46	11370.4531	0.0962		4276
AFG	Afghanistan	AF	Asia	Southern Asia	""	1993	15816603	7.535	52.256	160.4						379340	110	2981774	5.11247	1345.789	11390.8748	0.08509		4071
AFG	Afghanistan	AF	Asia	Southern Asia	""	1994	17075727	7.572	52.842	155.2						378130	110	3144000		1294.451	11290.6882	0.07581		8937
AFG	Afghanistan	AF	Asia	Southern Asia	""	1995	18110657	7.606	53.398	150.3						377530	110	3242179		1243.113	11635.6594	0.06864	99.95967	5499
AFG	Afghanistan	AF	Asia	Southern Asia	""	1996	18853437	7.629	53.924	145.6						377520	110	3241915	0.65385	1177.107	12505.9308	0.06243		3177
AFG	Afghanistan	AF	Asia	Southern Asia	""	1997	19357126	7.632	54.424	141.2						377900	110	3682723	0.65062	1096.433	13343.25	0.05664		6396
AFG	Afghanistan	AF	Asia	Southern Asia	""	1998	19737765	7.61	54.906	136.9						378670	110	3875506	0.90241	1041.428	13793.367	0.05276		6256
AFG	Afghanistan	AF	Asia	Southern Asia	""	1999	20170844	7.561	55.376	132.8						377530	110	3256396	0.65334	821.408	14812.366	0.04072		4629
AFG	Afghanistan	AF	Asia	Southern Asia	""	2000	20779953	7.485	55.841	128.7						377530	110	1940000	0.65079	773.737	13530.953	0.03723	99.96671	5235
AFG	Afghanistan	AF	Asia	Southern Asia	""	2001	21606988	7.387	56.308	124.6						377530		2108000	2.3949	817.741	12585.402	0.03785		5055
AFG	Afghanistan	AF	Asia	Southern Asia	""	2002	22600770	7.272	56.784	120.4				330.30355		377530		3737000	3.19439	1070.764	13842.7381	0.04738		890
AFG	Afghanistan	AF	Asia	Southern Asia	""	2003	23680871	7.148	57.271	116.3				343.08089		379100		4381000	3.47855	1213.777	14709.884	0.05126		687
AFG	Afghanistan	AF	Asia	Southern Asia	""	2004	24726684	7.016	57.772	112.1				333.21668		379110		3560000	4.24378	916.75	14654.374	0.03708		715
AFG	Afghanistan	AF	Asia	Southern Asia	""	2005	25654277	6.875	58.29	107.9				357.23472	22.29527	379100		5425000	3.81478	1327.454	14770.2643	0.05174	99.93134	1595
AFG	Afghanistan	AF	Asia	Southern Asia	""	2006	26433049	6.722	58.826	103.7				365.28449	28.09996	379100		4638000	3.19085	1650.15	14849.1594	0.06243		4750
AFG	Afghanistan	AF	Asia	Southern Asia	""	2007	27100536	6.555	59.375	99.5				405.54898	33.9016	379100		5786000	2.10127	2273.54	15272.633	0.08389		6906
AFG	Afghanistan	AF	Asia	Southern Asia	""	2008	27722276	6.373	59.93	95.4				412.01429	42.4	379100		3950000	1.85168	4206.049	15288.7756	0.15172		5552
AFG	Afghanistan	AF	Asia	Southern Asia	""	2009	28394813	6.18	60.484	91.4				488.30025	45.52068	379100		6514000	1.88786	6769.282	15554.4295	0.2384		6341
AFG	Afghanistan	AF	Asia	Southern Asia	""	2010	29185507	5.977	61.028	87.6				543.30304	42.7	379110		5957000	1.77786	8463.436	17791.3299	0.28999	99.97463	6864
AFG	Afghanistan	AF	Asia	Southern Asia	""	2011	30117413	5.77	61.553	83.9	32.11322	61.87907	31.44885	528.73665	43.22202	379100		4681020	3.82701	12240.446	17981.30729	0.40642	99.99347	7403
AFG	Afghanistan	AF	Asia	Southern Asia	""	2012	31161376	5.562	62.054	80.3				576.19013	69.1	379100		6379000	2.37785	10755.311	18168.86	0.34515	99.90859	7720
AFG	Afghanistan	AF	Asia	Southern Asia	""	2013	32269589	5.359	62.525	76.8				587.56509	68.98294	379100		6520329	4.88271	9050.156		0.28045	99.85622	8056
AFG	Afghanistan	AF	Asia	Southern Asia	""	2014	33370794	5.163	62.966	73.6				583.65619	89.5	379100		6747979	10.16611	8467.103		0.25373	99.72133	12284
AFG	Afghanistan	AF	Asia	Southern Asia	""	2015	34413603	4.976	63.377	70.4				574.18411	71.5	379100		5816151	4.0222	9035.488		0.26256	99.83457	17273
AFG	Afghanistan	AF	Asia	Southern Asia	""	2016	35383128	4.8	63.763	67.6				571.07377	97.7	379100		5537315	13.68015	8672.455		0.2451	99.63784	17978
AFG	Afghanistan	AF	Asia	Southern Asia	""	2017	36296400	4.633	64.13	64.9				571.44069	97.7	379100		4900051	20.45253				99.66295	19014
AFG	Afghanistan	AF	Asia	Southern Asia	""	2018	37172386	4.473	64.486	62.5	56.25475	74.0848	43.01972	564.60999	98.71562	379190		4140568	7.65068					25676
AFG	Afghanistan	AF	Asia	Southern Asia	""	2019	38041754	4.321	64.833	60.3				573.28755	97.7									29940
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1960	5454933	6.708	37.524											550.05		0.10084		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1961	5531472	6.79	37.811							571700	800	544000	0.37453	454.708		0.0822		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1962	5608539	6.872	38.113							572000	1645	543000	0.37037	1180.774		0.21053		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1963	5679458	6.954	38.43							572200	2000	515000	0.51471	1151.438		0.20274		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1964	5735044	7.036	38.76							572500	2817	564000	0.76364	1224.778		0.21356		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1965	5770570	7.116	39.102							572700	3000	562000	1.44404	1188.108		0.20589		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1966	5781214	7.194	39.454							573000	3729	502000	1.85714	1554.808		0.26894		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1967	5774243	7.267	39.813							573300	4500	515000	2.36749	993.757		0.1721		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1968	5771652	7.332	40.178							573600	5300	526148	2.65734	1672.152		0.28972		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1969	5803254	7.388	40.546							574000	6400	648090	3.62069	2786.92		0.48023		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1970	5890365	7.434	40.914							574000	7113	575915	3.89655	3582.659	60648.60108	0.60822		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1971	6040777	7.467	41.282							574000	8108	522928	8.62069	3410.31	39162.17143	0.56455		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1972	6248552	7.488	41.65							574000		513417	7.68966	4506.743	42205.6507	0.72125		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1973	6496962	7.498	42.016							574000		548578	7.37931	4880.777	44252.66912	0.75124		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1974	6761380	7.5	42.374							574000		513764	5.2069	4873.443	40179.2335	0.72078		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1975	7024000	7.494	42.721							574000		558000	1.41379	4415.068	44429.30003	0.62857		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1976	7279509	7.485	43.053							574000		563000	0.72414	3285.632	38448.02409	0.45135		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1977	7533735	7.475	43.367							574000		430000	10.89655	3534.988	43563.41218	0.46922		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1978	7790707	7.467	43.66							574000		475000	8.10345	5412.492	46235.11458	0.69474		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1979	8058067	7.461	43.931							574000		361000	4.72414	5504.167	56644.65197	0.68306		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1980	8341289	7.459	44.178	237.3				3193.40386		574000		435000	5.7931	5346.486	48001.86616	0.64097		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1981	8640446	7.459	44.404	234.6				2947.19411		574000		316000	4.17241	5280.48	41894.79496	0.61114		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1982	8952950	7.461	44.611	231.9				2844.32188		574000		315000	1.72414	4649.756	45243.80208	0.51935		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1983	9278096	7.462	44.799	229.2				2859.91921		574000		337000	2.96552	5115.465	44852.06032	0.55135		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1984	9614754	7.459	44.966	227.1				2925.36677		574000		321000	2.41069	5009.122	35878.30078	0.52098		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1985	9961997	7.451	45.107	225.5				2922.21685		574000		308000	7.01483	4701.094	36714.19083	0.4719		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1986	10320111	7.435	45.213	224.3				2902.61785		574000		341400	4.13793	4660.757	35982.41365	0.45162		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1987	10689250	7.409	45.283	223.4				2916.79393		574000		364400	3.55172	5815.862	46721.25774	0.54409		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1988	11068050	7.373	45.317	222.8				2989.61659		574000		334400	5.48586	5130.133	35736.7658	0.46351		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1989	11454777	7.328	45.324	222.3				2889.88586		574000		272400	8.13828	5009.122	39342.98618	0.4373		2810
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1990	11848386	7.272	45.306	222.2				2697.49078		574040		248500	3.27586	5115.465	50806.54269	0.43174	44.62773	2558
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1991	12248901	7.208	45.271	222.1				2635.15555		455626.37		372060	2.33898	5089.796	43761.08127	0.41553		516
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1992	12657366	7.138	45.23	222.1				2401.23366		457180.54		401800	3.03333	5196.139	64997.83986	0.41052		2346
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1993	13075049	7.065	45.201	222.3				1767.02534		458734.71		322000	2.66667	5775.525	39775.10719	0.44172		12054
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1994	13503747	6.99	45.201	221.9				1733.84384		460288.88		285000	3.33333	3890.687	44657.24335	0.28812		3974
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1995	13945206	6.918	45.246	221.2				1930.79951		461843.05		296000	2.66667	10975.331	48230.29864	0.78703	40.6238	187
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1996	14400719	6.851	45.35	219.7				2122.96846		463397.22		519376	2	10458.284	47136.21579	0.72623		29
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1997	14871570	6.789	45.519	217				2205.294		464951.39		448888	0.66667	7381.671	33091.22462	0.49636		51
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1998	15359601	6.732	45.763	213.5				2235.39017		466505.56		609612	1.13333	7308.331	35275.1251	0.47582		1066
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	1999	15866869	6.683	46.093	209.2				2211.12994		468059.73		541183	1.13333	9156.499	36119.4252	0.57708		2272
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2000	16395473	6.639	46.522	203.9				2205.20534		469613.9		519635	0.46667	9541.534	34780.6811	0.58196	45.10512	943
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2001	16945753	6.601	47.059	197.8	63.18212	83.77693	67.40542	2223.33463	20	475164.51		601120		9732.218	34371.8411	0.57432		1123
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2002	17519417	6.567	47.702	190.9				2444.41778	26.38387	480715.12		733819	1.65903	12665.818	34490.369	0.72296		521
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2003	18121479	6.533	48.44	183.2				2433.86155	27.46564	486265.73		736542	1.78879	9064.824	35858.015	0.50023		25
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2004	18758145	6.499	49.263	174.6				2608.78404	28.53676	491816.34		742341	4.50152	18793.375	36860.2334	1.00188		25
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2005	19433602	6.461	50.165	165.6				2896.55473	29.59622	497366.95		914886	2.26061	19156.408	35855.7384	0.98574	38.72035	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2006	20149901	6.419	51.143	156.2				3116.18104	30.64655	502917.56		723305	3.66	22266.024	36375.822	1.10502		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2007	20905363	6.372	52.177	146.8				3424.3717	37.5	508468.17		780963	3.305	25151.953	36690.534	1.20313		25
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2008	21695634	6.32	53.243	137.4				3668.07989	38.49	514018.78		754711	8.25882	25709.337	37396.294	1.185		
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2009	22514281	6.26	54.311	128.6				3565.05694	33.80418	519569.39		1056844	5.47225	27792.193	38309.46513	1.23443		25
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2010	23356246	6.194	55.35	120.3				3587.8838	34.87973	525120		1181944	8.43	29057.308	40029.3921	1.24409	28.77761	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2011	24220661	6.12	56.33	112.3				3579.95991	34.6	530670.62		1412826	11.98383	30586.447	40878.65196	1.26282	28.78691	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2012	25107931	6.039	57.236	105				3748.45065	37.10102	536221.24		509545	8.87605	34176.44	41657.16485	1.36118	29.24478	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2013	26015780	5.953	58.054	98.6				3796.88219	38.24899	541771.86		1674598	9.26396	33692.396		1.29508	35.82395	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2014	26941779	5.864	58.776	93	70.58513	84.86238	66.03011	3843.19788	32	547322.48		1823194	9.25939	44851.077		1.66474	24.77732	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2015	27884381	5.774	59.398	88.2				3748.32012	42	552873.1		2019275	8.04833	34583.477		1.24025	22.48664	
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2016	28842484	5.686	59.925	84.2				3530.31067	41.79738	558423.8		2423924	7.24127	34693.487		1.20286	24.12086	25
AGO	Angola	AO	Africa	Sub-Saharan Africa	Middle Africa	2017	29816748	5.6	60.379	80.6				3409.9303	43.00161	563974.3		2890827	10.67468				23.93794	25
